id,APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests,correct source-code paths,consequences_details
71,alexdphan/babyagi-chroma-agent,https://github.com/alexdphan/babyagi-chroma-agent/tree/a5379280e526fd559c49d3b85513a339afc302e5,absence of final output,case1,"Tasks and outcomes are only visible on the terminal. Once the instance is closed, all tasks and results are lost. ",UI,babyagi-chroma.py/execution_chain,"1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.set the following .env variable:COOPERATIVE_MODE=local
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py
10.Close the Instance:Stop the running script by pressing Ctrl+C in the terminal or closing the terminal window.
11.Restart the script to check if the previous tasks and outcomes are retrievable.
12.Notice that the previous tasks and outcomes are not available.",['babyagi-chroma.py'],['unfriendly user interface']
72,fendouai/babyagi_zh,https://github.com/fendouai/babyagi_zh/tree/bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,insufficient history management,case1,"Subtasks are sometimes executed repeatedly, often the first task.","IC,SL",babyagi.py/task_creation_agent(),"1.Run the script according to the previously mentioned steps.
2. Observe the tasks and outcoms, until you notice the repeated tasks.",['babyagi.py'],"['incorrectness', 'slower execution']"
73,fendouai/babyagi_zh,https://github.com/fendouai/babyagi_zh/tree/bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,incompatible llm output format,/,Task list numbering continues to reset or get misordered.,IC,"babyagi.py/task_creation_agent(), prioritization_agent()","1.Run the script according to the previously mentioned steps.
2.Observe whether the generated task list shows any numbering inconsistencies or misorder.",['babyagi.py'],['incorrectness']
74,fendouai/babyagi_zh,https://github.com/fendouai/babyagi_zh/tree/bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,unnecessary llm output,/,The task creation process generating too many unnecessary tasks,"IC,UI",babyagi.py/task_creation_agent(),"1.Clone the Repository:
   git clone https://github.com/yoheinakajima/babyagi.git
   cd babyagi
2.Install the Required Packages:
   pip install -r requirements.txt
3.Set Up Environment Variables:
  (1)Copy the .env.example file to .env:
   cp .env.example .env
  (2)Open the .env file and set the following variables:
   OPENAI_API_KEY=your_openai_api_key
   OPENAI_API_MODEL=gpt-3.5-turbo
   TABLE_NAME=your_results_store_name
   COOPERATIVE_MODE=local
(3)Optionally, set other variables:
   BABY_NAME=your_babyagi_instance_name
   OBJECTIVE=""do nothing""
   INITIAL_TASK=""Make a todo list""
4.Run the Script:
   python babyagi.py
5.Observe Tasks and Outcomes",['babyagi.py'],"['incorrectness', 'unfriendly user interface']"
75,fendouai/babyagi_zh,https://github.com/fendouai/babyagi_zh/tree/bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,imprecise knowledge retrieval,/,"There is an issue with how the vector database is queried. The execution_agent function currently uses the objective parameter to query similar documents. The query needs use the task parameter instead, as this would more effectively leverage existing solutions relevant to the specific task being addressed.","IC,SL",babyagi.py/execution_agent(),"(steps to use the script:babyagi.py)
1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py",['babyagi.py'],"['incorrectness', 'slower execution']"
76,fendouai/babyagi_zh,https://github.com/fendouai/babyagi_zh/tree/bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,absence of final output,case1,"Tasks and outcomes are only visible on the terminal. Once the instance is closed, all tasks and results are lost. ",UI,"babyagi.py/execution_agent()/class SingleTaskListStorage, class DefaultResultsStorage","1.Clone the repository via git clone https://github.com/yoheinakajima/babyagi.git and cd into the cloned repository.
2.Install the required packages: pip install -r requirements.txt
3.Copy the .env.example file to .env: cp .env.example .env. This is where you will set the following variables.
4.Set your OpenAI API key in the OPENAI_API_KEY and OPENAI_API_MODEL variables. In order to use with Weaviate you will also need to setup additional variables detailed here.
5.Set the name of the table where the task results will be stored in the TABLE_NAME variable.
6.set the following .env variable:COOPERATIVE_MODE=local
6.(Optional) Set the name of the BabyAGI instance in the BABY_NAME variable.
7.(Optional) Set the objective of the task management system in the OBJECTIVE variable.
8.(Optional) Set the first task of the system in the INITIAL_TASK variable.
9.Run the script: python babyagi.py
10.Close the Instance:Stop the running script by pressing Ctrl+C in the terminal or closing the terminal window.
11.Restart the script to check if the previous tasks and outcomes are retrievable.
12.Notice that the previous tasks and outcomes are not available.",['babyagi.py'],['unfriendly user interface']
77,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT/tree/9ef4fab084633e4289226a6dd059a598085ec876,missing llm input format validation,/,"
UTF8 files unsupported",IC,autogpt/commands/file_operations.py/read_file(),"1.Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT.
(Prompts:
ai_goals:
- Read project-plan-form.htm file 
- Fill project-plan-form.htm for and idea with flying monkeys
ai_name: DocWritter
ai_role: Fill in a doc using a file template)
3.Authorize and wait for the result of the ""read_file ARGUMENTS = {'file': 'project-plan-form.htm'}"" command, which will cause an error: ""Command read_file returned: Error: 'utf-8' codec can't decode byte 0xa0 in position 1341: invalid start byte "".",['autogpt/commands/file_operations.py'],['incorrectness']
78,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT/tree/9ef4fab084633e4289226a6dd059a598085ec876,knowledge misalignment,case1,5. Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",AutoGPT/forge/forge/components/context/context.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data.",['tests/context.py'],"['incorrectness', 'fail-stops']"
79,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT/tree/9ef4fab084633e4289226a6dd059a598085ec876,imprecise knowledge retrieval,/,Add Recency and Importance for Memory Retrieval,"IC,SL","autogpt/agent/agent.py
autogpt/chat.py",The user did not provide specific examples. We can observe AutoGPT's memory performance in its behavior.,"['autogpt/agent/agent.py', 'autogpt/chat.py']","['incorrectness', 'slower execution']"
80,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT/tree/9ef4fab084633e4289226a6dd059a598085ec876,absence of final output,/,"aught in error loop ""No Text to summary""","IC,ST",autogpt/agent/agent.py/start_interaction_loop(self),"1.(MacOS, Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT in continuous mode.
3.Let Auto GPT execute ""browse_website"" command  to collect information from the web about a specific topic. The webpage you directed AutoGPT to browse has no text to summarize or contains other page errors.
4.Observe if AutoGPT enters a loop that after a webpage browsing failure，it restarts the Google search, lands on the same page, and starts the search over, only to land on the page again.",['autogpt/agent/agent.py'],"['incorrectness', 'fail-stops']"
81,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,insufficient history management,case1,Relevant memory is essentially a duplicate of the conversation（enhancement）,IC,"autogpt/agent/agent.py
autogpt/llm/chat.py","1.Complete the environment setup.
2.(cli mode) start app.
3.Set up a task.
4.Allow app to process the task. Wait for a while, check if app loses track of what it's done in the past and starts to repeat actions.","['autogpt/agent/agent.py', 'autogpt/llm/chat.py']",['incorrectness']
82,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,missing llm input format validation,/,"
UTF8 files unsupported",IC,autogpt/commands/file_operations.py,"1.Set up and Configure app.
2.Create a Task: Create a task for app that is likely to fail or has complex steps prone to errors.
3.Observe Task Execution:Run the task and let app operate for an extended period. Check if It gets stuck in loops because it thinks failed repeated attempts are relevant and therefore should be tried again and again.
+H266",['autogpt/commands/file_operations.py'],['incorrectness']
83,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,exceeding llm content limit,case1,"AutoGPT incorrectly interprets the ""429 Too Many Requests"" error as rate limiting, when it is actually due to insufficient API quota from OpenAI's new prepay billing method.",ST,autogpt/llm/providers/openai.py,"1.Complete the environment setup for app.
2.(cli mode) start app in continuous mode.
3.Simulate API Quota Depletion:Ensure that your OpenAI API quota is depleted. This can be done by using up your available credits or not having sufficient pre-paid balance on your OpenAI account.
4.Allow app to make several API requests to OpenAI, which will result in ""429 Too Many Requests"" errors due to the depleted API quota.
",['autogpt/llm/providers/openai.py'],['fail-stops']
84,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,unnecessary llm output,case1,Failure: command list_files and read_file returned too much output.,"IC,UI","autogpt/llm/chat.py
autogpt/agent/agent.py","1.Configure and launch app according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.5.0)
2.Create an AI agent.
3.Start AutoGPT. Authorize these commands and observe their outputs: 
(1) list_files ARGUMENTS = {'directory': '....\auto_gpt_workspace'} --> SYSTEM: Failure: command list_files returned too much output. Do not execute this command again with the same arguments.
(2)read_file ARGUMENTS = {'filename': '...smoketests_basic_qemu.yml'} --> SYSTEM: Failure: command read_file returned too much output. Do not execute this command again with the same arguments.
","['autogpt/llm/chat.py', 'autogpt/agent/agent.py']","['incorrectness', 'unfriendly user interface']"
85,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,knowledge misalignment,case1,5. Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",tests/context.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data.",['tests/context.py'],"['incorrectness', 'fail-stops']"
86,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,conflicting knowledge entries,/,AutoGPT overwrites same text file with each action instead of appending to the end.,"IC,IS","autogpt/agent/agent.py
autogpt/llm/llm_utils.py
autogpt/memory_management/store_memory.py
...","1.Configure and launch app according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.(use RedisMemory)
2.Create an AI agent with a specific role and goals. (Role: an AI agent that specializes in Cisco ACI fabrics and provides expert guidance on the usage of VxLAN technology to enable efficient communication between endpoints in a data center network. Goals: Explain the benefits of VxLAN technology in Cisco ACI fabrics, including increased scalability, flexibility, and network virtualization.)
3.Configure the memory type to RedisMemory.
4.Perform an action that uses the write_to_file command, specifying a file and some text to write.
5.Perform an action that uses the append_to_file command, specifying the same file and additional text to append.
6. Check the contents of the file after each action to see if the text is being overwritten or appended correctly.","['autogpt/agent/agent.py', 'autogpt/llm/llm_utils.py', 'autogpt/memory_management/store_memory.py']","['incorrectness', 'insecure']"
87,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,imprecise knowledge retrieval,/,Add Recency and Importance for Memory Retrieval,"IC,SL","autogpt/agent/agent.py
autogpt/chat.py",The user did not provide specific examples. We can observe app's memory performance in its behavior.,"['autogpt/agent/agent.py', 'autogpt/chat.py']","['incorrectness', 'slower execution']"
88,FOLLGAD/Godmode-GPT,https://github.com/FOLLGAD/Godmode-GPT/tree/4e1dc7055580ab9bb3ce85114f9e17950ac96d7b,absence of final output,/,"aught in error loop ""No Text to summary""","IC,ST",autogpt/agent/agent.py/start_interaction_loop(self),"1.(MacOS, Set up with Docker)Complete the environment setup for app according to the instructions on v0.2.2 READMe.md
2. Run app in continuous mode.
3.Let app execute ""browse_website"" command  to collect information from the web about a specific topic. The webpage you directed AutoGPT to browse has no text to summarize or contains other page errors.
4.Observe if app enters a loop that after a webpage browsing failure，it restarts the Google search, lands on the same page, and starts the search over, only to land on the page again.",['autogpt/agent/agent.py'],"['incorrectness', 'fail-stops']"
89,BillSchumacher/Auto-GPT,https://github.com/BillSchumacher/Auto-GPT/tree/bdd07b18bea674cf756ebfb3a0a8915042d9126f,insufficient history management,case1,Relevant memory is essentially a duplicate of the conversation（enhancement）,IC,"autogpt/agent/agent.py
autogpt/chat.py","1.Complete the environment setup for app according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task.
4.Allow AutoGPT to process the task. Wait for a while, check if Auto-GPT loses track of what it's done in the past and starts to repeat actions.","['autogpt/agent/agent.py', 'autogpt/chat.py']",['incorrectness']
90,BillSchumacher/Auto-GPT,https://github.com/BillSchumacher/Auto-GPT/tree/bdd07b18bea674cf756ebfb3a0a8915042d9126f,missing llm input format validation,/,"
UTF8 files unsupported",IC,autogpt/commands/file_operations.py/read_file(),"1.Complete the environment setup for app according to the instructions on v0.2.2 READMe.md
2. Run app.
(Prompts:
ai_goals:
- Read project-plan-form.htm file 
- Fill project-plan-form.htm for and idea with flying monkeys
ai_name: DocWritter
ai_role: Fill in a doc using a file template)
3.Authorize and wait for the result of the ""read_file ARGUMENTS = {'file': 'project-plan-form.htm'}"" command, which will cause an error: ""Command read_file returned: Error: 'utf-8' codec can't decode byte 0xa0 in position 1341: invalid start byte "".",['autogpt/commands/file_operations.py'],['incorrectness']
91,BillSchumacher/Auto-GPT,https://github.com/BillSchumacher/Auto-GPT/tree/bdd07b18bea674cf756ebfb3a0a8915042d9126f,knowledge misalignment,case1,5. Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",AutoGPT/forge/forge/components/context/context.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data.",['tests/context.py'],"['incorrectness', 'fail-stops']"
92,BillSchumacher/Auto-GPT,https://github.com/BillSchumacher/Auto-GPT/tree/bdd07b18bea674cf756ebfb3a0a8915042d9126f,imprecise knowledge retrieval,/,Add Recency and Importance for Memory Retrieval,"IC,SL","autogpt/agent/agent.py
autogpt/chat.py",The user did not provide specific examples. We can observe AutoGPT's memory performance in its behavior.,"['autogpt/agent/agent.py', 'autogpt/chat.py']","['incorrectness', 'slower execution']"
93,BillSchumacher/Auto-GPT,https://github.com/BillSchumacher/Auto-GPT/tree/bdd07b18bea674cf756ebfb3a0a8915042d9126f,absence of final output,/,"aught in error loop ""No Text to summary""","IC,ST",autogpt/agent/agent.py/start_interaction_loop(self),"1.(MacOS, Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT in continuous mode.
3.Let Auto GPT execute ""browse_website"" command  to collect information from the web about a specific topic. The webpage you directed AutoGPT to browse has no text to summarize or contains other page errors.
4.Observe if AutoGPT enters a loop that after a webpage browsing failure，it restarts the Google search, lands on the same page, and starts the search over, only to land on the page again.",['autogpt/agent/agent.py'],"['incorrectness', 'fail-stops']"
94,amauryfischer/Auto-GPT-WebUI,https://github.com/amauryfischer/Auto-GPT-WebUI/tree/cea68df18f309b094912bdaa6ce2cd484dca5a13,insufficient history management,case1,Relevant memory is essentially a duplicate of the conversation（enhancement）,IC,"autogpt/agent/agent.py
autogpt/chat.py","1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task.
4.Allow AutoGPT to process the task. Wait for a while, check if Auto-GPT loses track of what it's done in the past and starts to repeat actions.","['autogpt/agent/agent.py', 'autogpt/chat.py']",['incorrectness']
95,amauryfischer/Auto-GPT-WebUI,https://github.com/amauryfischer/Auto-GPT-WebUI/tree/cea68df18f309b094912bdaa6ce2cd484dca5a13,missing llm input format validation,/,"
UTF8 files unsupported",IC,autogpt/commands/file_operations.py/read_file(),"1.Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT.
(Prompts:
ai_goals:
- Read project-plan-form.htm file 
- Fill project-plan-form.htm for and idea with flying monkeys
ai_name: DocWritter
ai_role: Fill in a doc using a file template)
3.Authorize and wait for the result of the ""read_file ARGUMENTS = {'file': 'project-plan-form.htm'}"" command, which will cause an error: ""Command read_file returned: Error: 'utf-8' codec can't decode byte 0xa0 in position 1341: invalid start byte "".",['autogpt/commands/file_operations.py'],['incorrectness']
96,amauryfischer/Auto-GPT-WebUI,https://github.com/amauryfischer/Auto-GPT-WebUI/tree/cea68df18f309b094912bdaa6ce2cd484dca5a13,knowledge misalignment,case1,Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",AutoGPT/forge/forge/components/context/context.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data.",['tests/context.py'],"['incorrectness', 'fail-stops']"
97,amauryfischer/Auto-GPT-WebUI,https://github.com/amauryfischer/Auto-GPT-WebUI/tree/cea68df18f309b094912bdaa6ce2cd484dca5a13,imprecise knowledge retrieval,/,Add Recency and Importance for Memory Retrieval,"IC,SL","autogpt/agent/agent.py
autogpt/chat.py",The user did not provide specific examples. We can observe AutoGPT's memory performance in its behavior.,"['autogpt/agent/agent.py', 'autogpt/chat.py']","['incorrectness', 'slower execution']"
98,amauryfischer/Auto-GPT-WebUI,https://github.com/amauryfischer/Auto-GPT-WebUI/tree/cea68df18f309b094912bdaa6ce2cd484dca5a13,absence of final output,/,"aught in error loop ""No Text to summary""","IC,ST",autogpt/agent/agent.py/start_interaction_loop(self),"1.(MacOS, Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT in continuous mode.
3.Let Auto GPT execute ""browse_website"" command  to collect information from the web about a specific topic. The webpage you directed AutoGPT to browse has no text to summarize or contains other page errors.
4.Observe if AutoGPT enters a loop that after a webpage browsing failure，it restarts the Google search, lands on the same page, and starts the search over, only to land on the page again.",['autogpt/agent/agent.py'],"['incorrectness', 'fail-stops']"
99,ATheorell/AutoGPTArenaHack,https://github.com/ATheorell/AutoGPTArenaHack/tree/1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,insufficient history management,case1,Relevant memory is essentially a duplicate of the conversation（enhancement）,IC,autogpts/forge/forge/agent.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task.
4.Allow AutoGPT to process the task. Wait for a while, check if Auto-GPT loses track of what it's done in the past and starts to repeat actions.",['autogpts/forge/forge/agent.py'],['incorrectness']
100,ATheorell/AutoGPTArenaHack,https://github.com/ATheorell/AutoGPTArenaHack/tree/1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,missing llm input format validation,/,"
UTF8 files unsupported",IC,autogpts/autogpt/autogpt/commands/file_operations_utils.py,"1.Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT.
(Prompts:
ai_goals:
- Read project-plan-form.htm file 
- Fill project-plan-form.htm for and idea with flying monkeys
ai_name: DocWritter
ai_role: Fill in a doc using a file template)
3.Authorize and wait for the result of the ""read_file ARGUMENTS = {'file': 'project-plan-form.htm'}"" command, which will cause an error: ""Command read_file returned: Error: 'utf-8' codec can't decode byte 0xa0 in position 1341: invalid start byte "".",['autogpts/autogpt/autogpt/commands/file_operations_utils.py'],['incorrectness']
101,ATheorell/AutoGPTArenaHack,https://github.com/ATheorell/AutoGPTArenaHack/tree/1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,exceeding llm content limit,case1,"AutoGPT incorrectly interprets the ""429 Too Many Requests"" error as rate limiting, when it is actually due to insufficient API quota from OpenAI's new prepay billing method.",ST,autogpts/autogpt/autogpt/llm/providers/openai.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh --continuous"" to start AutoGPT in continuous mode.
3.Simulate API Quota Depletion:Ensure that your OpenAI API quota is depleted. This can be done by using up your available credits or not having sufficient pre-paid balance on your OpenAI account.
4.Allow AutoGPT to make several API requests to OpenAI, which will result in ""429 Too Many Requests"" errors due to the depleted API quota.
",['autogpts/autogpt/autogpt/llm/providers/openai.py'],['fail-stops']
102,ATheorell/AutoGPTArenaHack,https://github.com/ATheorell/AutoGPTArenaHack/tree/1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,unnecessary llm output,case1,Failure: command list_files and read_file returned too much output.,"IC,UI",autogpts/forge/forge/agent.py,"1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.5.0)
2.Create an AI agent.
3.Start AutoGPT. Authorize these commands and observe their outputs: 
(1) list_files ARGUMENTS = {'directory': '....\auto_gpt_workspace'} --> SYSTEM: Failure: command list_files returned too much output. Do not execute this command again with the same arguments.
(2)read_file ARGUMENTS = {'filename': '...smoketests_basic_qemu.yml'} --> SYSTEM: Failure: command read_file returned too much output. Do not execute this command again with the same arguments.
",['autogpts/forge/forge/agent.py'],"['incorrectness', 'unfriendly user interface']"
103,ATheorell/AutoGPTArenaHack,https://github.com/ATheorell/AutoGPTArenaHack/tree/1e4f2dc004b92b9f236543674f94fb9f0af9bb2e,knowledge misalignment,case1,5. Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",autogpts/autogpt/autogpt/agents/features/context.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data.",['autogpts/autogpt/autogpt/agents/features/context.py'],"['incorrectness', 'fail-stops']"
